product_id,product_name,brand,category,price,rating,stock,features,description
P1001,Apple iPhone 15,Apple,Smartphones,799,4.8,120,A16 Bionic;128GB;48MP Camera,Latest iPhone with advanced camera and performance
P1002,Samsung Galaxy S24,Samsung,Smartphones,749,4.7,95,Snapdragon 8 Gen 3;256GB;50MP Camera,Premium Android smartphone with AI features
P1003,Sony WH-1000XM5,Sony,Headphones,349,4.9,60,Noise Cancelling;Bluetooth 5.2;30h Battery,Industry-leading wireless noise-canceling headphones
P1004,Dell XPS 13,Dell,Laptops,1299,4.6,45,Intel Core Ultra 7;16GB RAM;512GB SSD,Lightweight premium ultrabook
P1005,Nike Air Zoom Pegasus 41,Nike,Running Shoes,140,4.5,200,Breathable Mesh;Responsive Cushioning,Popular daily running shoe for comfort and performance
P1006,Apple MacBook Air M3,Apple,Laptops,1099,4.9,80,M3 Chip;16GB RAM;512GB SSD,Thin and powerful laptop with long battery life
P1007,Canon EOS R50,Canon,Cameras,679,4.7,30,24.2MP;4K Video;Mirrorless,Compact mirrorless camera for creators
P1008,LG C4 OLED 55,LG,Televisions,1399,4.8,25,OLED Display;4K;120Hz,Premium OLED TV with exceptional picture quality
P1009,Fitbit Charge 6,Fitbit,Wearables,159,4.4,110,Heart Rate Monitor;GPS;Sleep Tracking,Fitness tracker with health insights
P1010,Instant Pot Duo 7-in-1,Instant Pot,Kitchen Appliances,99,4.7,150,Pressure Cooker;Slow Cooker;Rice Cooker,Versatile multi-cooker for everyday cooking
P1011,Google Pixel 9,Google,Smartphones,799,4.8,90,Tensor G4;128GB;50MP Camera,AI-powered smartphone with advanced photography
P1012,OnePlus 13,OnePlus,Smartphones,699,4.7,85,Snapdragon 8 Elite;256GB;100W Charging,Flagship Android phone with fast charging
P1013,Bose QuietComfort Ultra,Bose,Headphones,429,4.8,50,Noise Cancelling;Spatial Audio;24h Battery,Premium wireless headphones with immersive sound
P1014,HP Spectre x360,HP,Laptops,1399,4.7,40,Intel Core Ultra 7;16GB RAM;1TB SSD,Convertible laptop with premium design
P1015,Adidas Ultraboost Light,Adidas,Running Shoes,180,4.6,170,Boost Midsole;Primeknit Upper,Comfortable running shoe with energy return
P1016,Lenovo ThinkPad X1 Carbon,Lenovo,Laptops,1499,4.8,35,Intel Core Ultra 7;32GB RAM;1TB SSD,Business ultrabook with durability and performance
P1017,Nikon Z50,Nikon,Cameras,799,4.6,28,20.9MP;4K Video;Mirrorless,Compact camera for photography enthusiasts
P1018,Samsung QN90D 65,Samsung,Televisions,1799,4.8,22,Neo QLED;4K;144Hz,Bright premium TV for movies and gaming
P1019,Garmin Venu 3,Garmin,Wearables,449,4.7,75,GPS;Health Tracking;AMOLED Display,Advanced smartwatch for fitness monitoring
P1020,Ninja Foodi Deluxe,Ninja,Kitchen Appliances,199,4.8,120,Pressure Cooker;Air Fryer;Slow Cooker,Multi-functional cooker for versatile meals
P1021,Xiaomi 15,Xiaomi,Smartphones,649,4.6,130,Snapdragon 8 Elite;256GB;Leica Camera,Flagship smartphone with premium camera system
P1022,JBL Tour One M3,JBL,Headphones,299,4.5,70,Adaptive ANC;Bluetooth 5.3;40h Battery,Wireless headphones with rich sound quality
P1023,Acer Swift Go 14,Acer,Laptops,899,4.5,65,Intel Core Ultra 5;16GB RAM;512GB SSD,Portable laptop for productivity and travel
P1024,ASICS Gel Nimbus 27,ASICS,Running Shoes,160,4.7,180,FF Blast Cushioning;Breathable Upper,High-cushion running shoe for long distances
P1025,Fujifilm X-S20,Fujifilm,Cameras,1299,4.8,18,26MP;6K Video;Mirrorless,Creator-focused camera with excellent image quality
P1026,Sony Bravia 8 OLED 65,Sony,Televisions,2199,4.9,15,OLED Panel;4K;120Hz,Premium OLED TV with cinematic visuals
P1027,Apple Watch Series 10,Apple,Wearables,429,4.9,95,ECG;GPS;Health Tracking,Advanced smartwatch with health and fitness features
P1028,Cuisinart Air Fryer Oven,Cuisinart,Kitchen Appliances,229,4.6,90,Air Fry;Bake;Toast,Versatile countertop cooking appliance
P1029,Motorola Edge 60 Pro,Motorola,Smartphones,599,4.5,100,144Hz Display;256GB;50MP Camera,Premium smartphone with smooth display
P1030,Sennheiser Momentum 4,Sennheiser,Headphones,349,4.8,55,ANC;60h Battery;Bluetooth 5.2,High-fidelity wireless headphones
P1031,Microsoft Surface Laptop 7,Microsoft,Laptops,1299,4.7,45,Snapdragon X Elite;16GB RAM;512GB SSD,AI-ready laptop with long battery life
P1032,Brooks Ghost 16,Brooks,Running Shoes,140,4.6,160,Soft Cushioning;Road Running,Reliable daily trainer for runners
P1033,Panasonic Lumix G100D,Panasonic,Cameras,749,4.5,32,20MP;4K Video;Mirrorless,Compact vlogging camera with quality audio
P1034,TCL QM8 75,TCL,Televisions,1699,4.7,20,Mini LED;4K;144Hz,Large-screen TV with strong HDR performance
P1035,Whoop 5.0,Whoop,Wearables,299,4.5,85,Recovery Tracking;Sleep Analysis,Performance-focused wearable for athletes
P1036,Breville Smart Oven Air,Breville,Kitchen Appliances,399,4.8,40,Air Fry;Convection;Dehydrate,Premium countertop oven for home cooking
P1037,Nothing Phone 3,Nothing,Smartphones,699,4.6,95,Glyph Interface;256GB;50MP Camera,Distinctive smartphone with clean software
P1038,Beats Studio Pro,Beats,Headphones,349,4.6,65,ANC;Spatial Audio;40h Battery,Stylish wireless headphones with powerful bass
P1039,MSI Prestige 14 AI,MSI,Laptops,1199,4.5,38,Intel Core Ultra 7;32GB RAM;1TB SSD,Lightweight AI-enhanced productivity laptop
P1040,Hoka Clifton 10,Hoka,Running Shoes,150,4.8,140,Lightweight Cushioning;Breathable Mesh,Popular running shoe with plush comfort
P1041,Olympus OM-D E-M10 IV,Olympus,Cameras,899,4.7,24,20MP;4K Video;Mirrorless,Compact camera with image stabilization
P1042,Hisense U8N 65,Hisense,Televisions,1499,4.7,30,Mini LED;4K;144Hz,High-performance TV with bright HDR visuals
P1043,Samsung Galaxy Watch 8,Samsung,Wearables,379,4.7,105,GPS;Sleep Tracking;AMOLED,Smartwatch with advanced wellness features
P1044,KitchenAid Artisan Mixer,KitchenAid,Kitchen Appliances,449,4.9,55,5Qt Bowl;Tilt-Head Design,Iconic stand mixer for baking enthusiasts
P1045,Realme GT 8 Pro,Realme,Smartphones,549,4.5,115,Snapdragon 8 Elite;256GB;120Hz Display,Affordable flagship with premium specifications
P1046,Audio-Technica ATH-M50xBT2,Audio-Technica,Headphones,199,4.8,80,Bluetooth 5.0;50h Battery;Studio Sound,Wireless version of the popular studio headphones
P1047,Razer Blade 14,Razer,Laptops,1999,4.7,20,Ryzen 9;RTX 4070;16GB RAM,Compact gaming laptop with premium build quality
P1048,New Balance Fresh Foam X 1080v14,New Balance,Running Shoes,165,4.8,150,Fresh Foam Cushioning;Engineered Mesh,Comfort-focused running shoe for daily training
P1049,GoPro HERO13 Black,GoPro,Cameras,499,4.8,70,5.3K Video;Waterproof;HyperSmooth,Action camera for adventure and content creation
P1050,Philips OLED809 55,Philips,Televisions,1899,4.8,18,OLED Panel;Ambilight;120Hz,Premium OLED TV with immersive lighting effects
P1051,Oura Ring Gen 4,Oura,Wearables,349,4.7,90,Sleep Tracking;Heart Rate;Recovery Score,Smart ring for comprehensive health monitoring
P1052,Chefman TurboFry XL,Chefman,Kitchen Appliances,129,4.5,130,Air Fryer;8Qt Capacity;Digital Controls,Large-capacity air fryer for family meals
P1053,Vivo X200 Pro,Vivo,Smartphones,899,4.8,60,Zeiss Camera;512GB;120Hz Display,Photography-focused flagship smartphone
P1054,Shure AONIC 50 Gen 2,Shure,Headphones,349,4.7,45,ANC;Spatialized Audio;45h Battery,Premium headphones with audiophile-grade sound
P1055,Alienware x16 R2,Alienware,Laptops,2499,4.8,15,Intel Core Ultra 9;RTX 4080;32GB RAM,High-end gaming laptop with powerful performance
P1056,Saucony Endorphin Speed 4,Saucony,Running Shoes,170,4.8,125,PWRRUN PB Foam;Nylon Plate,Versatile running shoe for training and racing
P1057,Ricoh GR IIIx,Ricoh,Cameras,1099,4.8,12,24MP APS-C;Compact Design;Street Photography,Premium compact camera for everyday photography
